Id,Category
0,Andy Serkis
1,Amy Ryan
2,Adrien Brody
3,Adriana Barraza
4,Albert Brooks
5,Aaron Taylor-Johnson
6,Amber Heard
7,Adele
8,Ava Gardner
9,Alex Pettyfer
10,Anna Faris
11,Anthony Perkins
12,Bill Hader
13,Barabara Palvin
14,Benjamin Bratt
15,Berenice Bejo
16,Alessandra Ambrosio
17,Alan Arkin
18,Akemi Darenogare
19,Anderson Cooper
20,Ashley Graham
21,Ashley Greene
22,Benedict Cumberbatch
23,Adele
24,Ashley Greene
25,Alan Rickman
26,Benedict Cumberbatch
27,Albert Finney
28,Amber Heard
29,Adam Sandler
30,Angela Bassett
31,Ava Gardner
32,Amy Adams
33,Al Pacino
34,Andrew Garfield
35,Andreea Diaconu
36,Andrew Garfield
37,Aaron Taylor-Johnson
38,Anna Paquin
39,Alessandra Ambrosio
40,Alicia Vikander
41,bella thorne
42,Anderson Cooper
43,Anne Baxter
44,Bette Midler
45,Amy Ryan
46,Barbra Streisand
47,Adriana Barraza
48,Alan Arkin
49,Alessandra Ambrosio
50,Aaron Paul
51,Ava Gardner
52,Adriana Barraza
53,Abigail Breslin
54,Bill Paxton
55,Alice Eve
56,Adele
57,Andrew Lincoln
58,Bill O Reilly
59,Alec Baldwin
60,Anderson Cooper
61,Armin Mueller-Stahl
62,Audrey Tautou
63,Anthony Hopkins
64,Andy Garcia
65,Aaron Judge
66,Andreea Diaconu
67,Barbra Streisand
68,Alexandra Daddario
69,Andy Serkis
70,Albert Brooks
71,Ben Johnson
72,Analeigh Tipton
73,Adele
74,Anthony Perkins
75,Armin Mueller-Stahl
76,Bill Hader
77,Alessandra Ambrosio
78,Al Roker
79,Anna Friel
80,Al Pacino
81,Andreea Diaconu
82,Abigail Breslin
83,Anna Kendrick
84,Alice Eve
85,Anjelica Huston
86,Adriana Lima
87,Angelina Jolie
88,Arnold Schwarzenegger
89,Anthony Mackie
90,Amanda Bynes
91,Benicio Del Toro
92,Amanda Seyfried
93,Alex Pettyfer
94,Alicia Vikander
95,Alx James
96,Amanda Crew
97,Ben Kingsley
98,Armin Mueller-Stahl
99,Amber Heard
100,Adriana Lima
101,Andrew Lincoln
102,Ashley Judd
103,Amy Schumer
104,Benicio Del Toro
105,Andrew Garfield
106,Anna Paquin
107,Barabara Palvin
108,Ashley Judd
109,Akemi Darenogare
110,Bella Hadid
111,Amy Schumer
112,Ben Johnson
113,Aaron Judge
114,Abigail Breslin
115,Andrew Garfield
116,Bill Rancic
117,Aaron Paul
118,Anna Friel
119,Alexander Skarsgard
120,Anne Hathaway
121,Audrey Tautou
122,Aaron Paul
123,Alx James
124,Anthony Hopkins
125,Beyonce Knowles
126,Andrew Luck
127,Alice Eve
128,Berenice Bejo
129,Bill Paxton
130,Barbra Streisand
131,Anne Hathaway
132,Anna Faris
133,Anna Sui
134,Arnold Schwarzenegger
135,Adriana Barraza
136,Bill Rancic
137,Albert Finney
138,Ashley Judd
139,Anna Sui
140,Adele
141,Anne Hathaway
142,Annette Bening
143,AnnaSophia Robb
144,Alec Baldwin
145,bella thorne
146,Billy Bob Thornton
147,Bill Rancic
148,Alex Pettyfer
149,Aaron Paul
150,Albert Finney
151,Al Pacino
